anomaly_type,競馬場,競走年月日,レース番号,detail
PAYBACK_MULTIROW,佐賀,20091129,2,source_rows=2
PAYBACK_MULTIROW,佐賀,20100117,2,source_rows=2
PAYBACK_MULTIROW,佐賀,20100220,7,source_rows=2
PAYBACK_MULTIROW,佐賀,20100313,9,source_rows=2
PAYBACK_MULTIROW,佐賀,20100411,10,source_rows=2
PAYBACK_MULTIROW,佐賀,20100529,3,source_rows=2
PAYBACK_MULTIROW,佐賀,20100619,6,source_rows=2
PAYBACK_MULTIROW,佐賀,20100704,5,source_rows=2
PAYBACK_MULTIROW,佐賀,20100731,10,source_rows=2
PAYBACK_MULTIROW,佐賀,20101107,4,source_rows=2
PAYBACK_MULTIROW,佐賀,20101114,10,source_rows=2
PAYBACK_MULTIROW,佐賀,20101121,5,source_rows=2
PAYBACK_MULTIROW,佐賀,20110219,8,source_rows=2
PAYBACK_MULTIROW,佐賀,20110306,5,source_rows=2
PAYBACK_MULTIROW,佐賀,20110313,9,source_rows=2
PAYBACK_MULTIROW,佐賀,20110828,3,source_rows=2
PAYBACK_MULTIROW,佐賀,20120121,3,source_rows=2
PAYBACK_MULTIROW,佐賀,20120304,8,source_rows=2
PAYBACK_MULTIROW,佐賀,20120430,10,source_rows=2
PAYBACK_MULTIROW,佐賀,20120504,8,source_rows=2
PAYBACK_MULTIROW,佐賀,20120512,7,source_rows=2
PAYBACK_MULTIROW,佐賀,20120708,8,source_rows=2
PAYBACK_MULTIROW,佐賀,20121104,7,source_rows=2
PAYBACK_MULTIROW,佐賀,20121202,3,source_rows=2
PAYBACK_MULTIROW,佐賀,20130103,4,source_rows=2
PAYBACK_MULTIROW,佐賀,20130106,9,source_rows=2
PAYBACK_MULTIROW,佐賀,20130203,11,source_rows=2
PAYBACK_MULTIROW,佐賀,20130316,1,source_rows=2
PAYBACK_MULTIROW,佐賀,20130317,11,source_rows=2
PAYBACK_MULTIROW,佐賀,20131214,8,source_rows=2
PAYBACK_MULTIROW,佐賀,20131231,8,source_rows=2
PAYBACK_MULTIROW,佐賀,20140308,3,source_rows=2
PAYBACK_MULTIROW,佐賀,20140309,11,source_rows=2
PAYBACK_MULTIROW,佐賀,20140525,7,source_rows=2
PAYBACK_MULTIROW,佐賀,20140720,9,source_rows=2
PAYBACK_MULTIROW,佐賀,20140810,10,source_rows=2
PAYBACK_MULTIROW,佐賀,20140819,6,source_rows=2
PAYBACK_MULTIROW,佐賀,20140824,6,source_rows=2
PAYBACK_MULTIROW,佐賀,20141004,8,source_rows=2
PAYBACK_MULTIROW,佐賀,20141102,5,source_rows=2
PAYBACK_MULTIROW,佐賀,20141206,9,source_rows=2
PAYBACK_MULTIROW,佐賀,20150308,3,source_rows=2
PAYBACK_MULTIROW,佐賀,20150314,11,source_rows=2
PAYBACK_MULTIROW,佐賀,20150329,7,source_rows=2
PAYBACK_MULTIROW,佐賀,20150510,2,source_rows=2
PAYBACK_MULTIROW,佐賀,20150614,5,source_rows=2
PAYBACK_MULTIROW,佐賀,20150628,9,source_rows=2
PAYBACK_MULTIROW,佐賀,20150801,6,source_rows=2
PAYBACK_MULTIROW,佐賀,20160220,8,source_rows=2
PAYBACK_MULTIROW,佐賀,20160227,8,source_rows=2
PAYBACK_MULTIROW,佐賀,20160327,1,source_rows=2
PAYBACK_MULTIROW,佐賀,20160403,2,source_rows=2
PAYBACK_MULTIROW,佐賀,20161022,6,source_rows=2
PAYBACK_MULTIROW,佐賀,20170204,9,source_rows=2
PAYBACK_MULTIROW,佐賀,20170326,6,source_rows=2
PAYBACK_MULTIROW,佐賀,20170521,5,source_rows=2
PAYBACK_MULTIROW,佐賀,20170620,3,source_rows=2
PAYBACK_MULTIROW,佐賀,20180412,10,source_rows=2
PAYBACK_MULTIROW,佐賀,20180422,8,source_rows=2
PAYBACK_MULTIROW,佐賀,20180527,1,source_rows=2
PAYBACK_MULTIROW,佐賀,20180911,11,source_rows=2
PAYBACK_MULTIROW,佐賀,20181201,1,source_rows=2
PAYBACK_MULTIROW,佐賀,20190505,10,source_rows=2
PAYBACK_MULTIROW,佐賀,20190824,12,source_rows=2
PAYBACK_MULTIROW,佐賀,20191026,7,source_rows=2
PAYBACK_MULTIROW,佐賀,20191103,11,source_rows=2
